alpha,mean_rankIC_5d,ICIR_5d,stability_pos_ratio,mean_rankIC_1w,ICIR_1w,stability_pos_ratio_1w,direction,turnover_weekly,sharpe_weekly,sharpe_weekly_net,mdd,mdd_net,n_rankic_days,n_weeks
llm_vol_020,0.012316586433089846,0.05940322513364306,0.5786516853932584,0.019195963862202632,0.09479518064648186,0.559322033898305,1.0,0.6664221892821115,0.67107072842826,0.43466899230777495,-0.22674940331017135,-0.3167342053967074,3710,771
llm_rev_001,0.013625570853507253,0.057148128288224354,0.5666666666666667,0.01706355551175949,0.07309322022772215,0.5611111111111111,1.0,1.5069254393967038,0.07470922617245018,-0.35791989809555813,-0.41731458749046757,-0.7099782369369452,3765,783
llm_rev_019,0.013625570853507253,0.057148128288224354,0.5666666666666667,0.01706355551175949,0.07309322022772215,0.5611111111111111,1.0,1.5069254393967038,0.07470922617245018,-0.35791989809555813,-0.41731458749046757,-0.7099782369369452,3765,783
llm_rev_003,0.013625570853507253,0.057148128288224354,0.5666666666666667,0.01706355551175949,0.07309322022772215,0.5611111111111111,1.0,1.5069254393967038,0.07470922617245018,-0.35791989809555813,-0.41731458749046757,-0.7099782369369452,3765,783
rev_5_rank,0.013625570853507253,0.057148128288224354,0.5666666666666667,0.01706355551175949,0.07309322022772215,0.5611111111111111,1.0,1.5069254393967038,0.07470922617245018,-0.35791989809555813,-0.41731458749046757,-0.7099782369369452,3765,783
llm_rev_005,0.009549492096058876,0.04259745730954343,0.5418994413407822,0.015432803678148213,0.0699649971574137,0.5642458100558659,1.0,1.5483907940583164,0.2483300697196482,-0.2511011921798867,-0.3728705338237719,-0.5781808125373921,3750,779
llm_rev_004,0.009760799697651753,0.03971119464279215,0.5777777777777777,0.012477050394025932,0.05195623442610096,0.55,1.0,1.0672801729387407,0.03657368475672942,-0.27081028691947834,-0.562256277047879,-0.6903919051538063,3760,782
llm_rev_002,0.009760799697651753,0.03971119464279215,0.5777777777777777,0.012477050394025932,0.05195623442610096,0.55,1.0,1.0672801729387407,0.03657368475672942,-0.27081028691947834,-0.562256277047879,-0.6903919051538063,3760,782
llm_rev_020,0.009760799697651753,0.03971119464279215,0.5777777777777777,0.012477050394025932,0.05195623442610096,0.55,1.0,1.0672801729387407,0.03657368475672942,-0.27081028691947834,-0.562256277047879,-0.6903919051538063,3760,782
rev_10_rank,0.009760799697651753,0.03971119464279215,0.5777777777777777,0.012477050394025932,0.05195623442610096,0.55,1.0,1.0672801729387407,0.03657368475672942,-0.27081028691947834,-0.562256277047879,-0.6903919051538063,3760,782
llm_vol_008,0.01226646443214947,0.059575597123133525,0.5561797752808989,0.012039983285169422,0.05857298515686107,0.576271186440678,1.0,0.7774097749778683,0.586973489949702,0.31372120221650357,-0.26435977850323567,-0.32734599705247247,3710,771
llm_rev_006,0.006323543213818873,0.027234019574223587,0.5418994413407822,0.011340591032025244,0.049165379216099356,0.5698324022346368,1.0,1.1078585691871956,0.07188621531384683,-0.2770052825722705,-0.5024668976400055,-0.6088313579318655,3750,779
llm_vol_015,0.004421324634665892,0.022020543933475488,0.5393258426966292,0.010447185607647739,0.05268583658258695,0.5536723163841808,1.0,0.7666630638420521,0.14783976485086117,-0.1265441449806667,-0.4524982976664861,-0.5746355282869047,3710,771
llm_rev_013,0.013592339406755746,0.05496299102298387,0.5586592178770949,0.010413219821014947,0.04290113937439875,0.5921787709497207,1.0,0.9896769362430469,0.4380211043395444,0.145678239527149,-0.5149556798539598,-0.566526315283479,3750,779
llm_mom_020,0.005363973131435618,0.02496667632155386,0.5307262569832403,0.009106141358369678,0.043931043427219325,0.5698324022346368,1.0,1.0635226277074799,0.3926151800207188,0.010975781115926432,-0.3682680144522136,-0.4956700211903241,3750,779
llm_rev_014,0.010412080602902198,0.040215217118725735,0.5561797752808989,0.008966026644824666,0.03533821731255792,0.5310734463276836,1.0,0.7121935025631524,0.31861335572491367,0.12167843662011757,-0.4475603160057072,-0.4879453722521173,3710,771
llm_vol_016,0.002882665590485566,0.014660275214590754,0.550561797752809,0.008708509626353014,0.043825522800709275,0.5310734463276836,1.0,1.0370421839293433,0.18023920615865427,-0.19037818772468693,-0.4431409271749903,-0.6156733783839221,3710,771
llm_rev_017,0.006379446505249592,0.02810317716686173,0.5195530726256983,0.00833877374425911,0.03808638386979279,0.5865921787709497,1.0,1.0941516249697931,-0.2486357064947884,-0.6109516555232353,-0.6343444025601446,-0.8193776150371639,3749,779
llm_rev_007,0.01033454687746373,0.03997457131606202,0.5168539325842697,0.007078621975926212,0.027774166139101924,0.536723163841808,1.0,0.459491384102279,0.30575273613873655,0.17948946479605743,-0.2400034554728281,-0.29575349999248335,3710,771
llm_mom_016,0.009746898435308397,0.04593884428626799,0.5056179775280899,0.00618131183599733,0.02950217024701905,0.5254237288135594,1.0,0.9671448129619337,0.4221179783907397,0.10366126421330726,-0.30364109390398264,-0.43785965078267375,3710,771
llm_vol_014,0.006035854324255781,0.030393381640010653,0.5280898876404494,0.004875395741891248,0.024436525849460964,0.5084745762711864,1.0,1.3808726041216315,0.10773578382944379,-0.39878609206409155,-0.38190162617244705,-0.6438008944454073,3710,771
llm_mom_008,0.007620675259862702,0.030432427696984492,0.5449438202247191,0.004837106595771552,0.019455556976736437,0.5028248587570622,1.0,0.5375877545138245,0.26052390089479505,0.11501281232275763,-0.3012477159719118,-0.35319131991883035,3710,771
llm_mom_002,0.00719306597081619,0.0276863637620618,0.4943820224719101,0.004641226078966773,0.018127531675396893,0.4745762711864407,1.0,0.4373082782615856,0.2520007615448765,0.13409009160235327,-0.3746863323211038,-0.450447382936621,3710,771
llm_mom_004,0.00719306597081619,0.0276863637620618,0.4943820224719101,0.004641226078966773,0.018127531675396893,0.4745762711864407,1.0,0.4373082782615856,0.2520007615448765,0.13409009160235327,-0.3746863323211038,-0.450447382936621,3710,771
llm_mom_006,0.00719306597081619,0.0276863637620618,0.4943820224719101,0.004641226078966773,0.018127531675396893,0.4745762711864407,1.0,0.4373082782615856,0.2520007615448765,0.13409009160235327,-0.3746863323211038,-0.450447382936621,3710,771
mom_60_rank,0.00719306597081619,0.0276863637620618,0.4943820224719101,0.004641226078966773,0.018127531675396893,0.4745762711864407,1.0,0.4373082782615856,0.2520007615448765,0.13409009160235327,-0.3746863323211038,-0.450447382936621,3710,771
llm_mom_012,0.006076933041328595,0.0233520534503713,0.5056179775280899,0.003836485364084851,0.014978217149549385,0.4745762711864407,1.0,0.43494070780063,0.2760437371624911,0.16127242810129977,-0.35199863456654934,-0.4219201017363041,3710,771
llm_vol_013,0.004981277757126509,0.02608454389064939,0.5363128491620112,0.003574628103719188,0.019168190679514835,0.49162011173184356,1.0,1.5807761273101453,0.13624690900244021,-0.47474728546026584,-0.43666189134693467,-0.6738276479406977,3750,779
llm_rev_018,0.0014020333688577959,0.005887612717150971,0.48314606741573035,0.0031207450383827105,0.013645801946058978,0.536723163841808,1.0,0.7766084002465327,0.06849307289990496,-0.18471736635539776,-0.34999887448241807,-0.4909755818103583,3710,771
llm_mom_010,0.00460986640038316,0.018684458404170764,0.5112359550561798,0.0030907231292340402,0.012545578569779513,0.4971751412429379,1.0,0.45694881930290493,0.16397310362803416,0.029355574047550872,-0.35449243406526065,-0.4648378935310692,3710,771
llm_rev_008,0.007725059363530108,0.03321430466694072,0.5139664804469274,0.0029459931566481736,0.01286673495964569,0.5083798882681564,1.0,1.0681021659840657,0.3081878524757946,-0.02124717627749716,-0.5398291234674263,-0.6272209380375191,3750,779
llm_mom_019,0.006431202500521779,0.02504315104178771,0.5056179775280899,0.002510167959461927,0.009914919478528307,0.519774011299435,1.0,0.5238146707018302,0.10019357596965218,-0.03786123757398348,-0.4442081763911552,-0.5837030032888053,3710,771
volchg_5_rank,0.007355193656562644,0.039823898339585086,0.5444444444444444,0.0016938667095061188,0.009110925313792578,0.5166666666666667,1.0,1.7955487644184964,0.07875645079228813,-0.6338681986569209,-0.4095193046582283,-0.8068777731757871,3764,783
llm_vp_006,-0.004070027413345313,-0.019531468954139816,0.4581005586592179,0.0008062632131621775,0.003961423847025012,0.4972067039106145,1.0,1.4846032764838926,-0.4070917224125292,-0.8915199792397389,-0.7081110526031871,-0.9011970982442924,3750,779
llm_rev_010,-0.0035687653773919074,-0.01613814388364156,0.48333333333333334,0.00024748303961452027,0.0011450381569053751,0.4888888888888889,1.0,1.2822027361669304,-0.39583700352018975,-0.7988110740329262,-0.7063474681701898,-0.8924107683458791,3760,782
llm_vol_007,0.0016612825334656833,0.008214304429243369,0.46368715083798884,-0.000359898647285089,-0.0018002170008643674,0.49162011173184356,-1.0,1.1542270309921143,-0.05535562403138913,-0.46810920924795046,-0.5681724885105257,-0.7840181492189364,3750,779
llm_rev_009,-0.0042409262831959805,-0.019601343441742452,0.45,-0.0003888294064564377,-0.0018525687501498454,0.48333333333333334,-1.0,1.4537315777737232,0.3161336666882124,-0.15834332270652393,-0.3513761870774684,-0.6077972672861157,3765,783
llm_mom_007,0.004786925362798736,0.020194618678388666,0.547486033519553,-0.0005870585302227609,-0.002540563265757671,0.5195530726256983,-1.0,0.8673003647329706,-0.15717863635808776,-0.4284218147840189,-0.6894693621245773,-0.8129531549829273,3750,779
lowatr_14_rank,-0.008996903170148823,-0.03159866456037092,0.4777777777777778,-0.00169731725177563,-0.006033357232112348,0.4722222222222222,-1.0,0.35818954128813285,0.5764560145366162,0.4882834233896868,-0.5038983248609741,-0.5114596055792427,3756,781
llm_vp_007,0.0016514568310470727,0.008869367724503594,0.5307262569832403,-0.002661978498031574,-0.014171503964391558,0.5307262569832403,-1.0,1.4592349776881228,0.11916850619419171,-0.4068208660714546,-0.3273653577223695,-0.6847083748556715,3750,779
llm_mom_009,0.0003972335475394054,0.001723449114319632,0.4972067039106145,-0.0029039430090807687,-0.012908914714446947,0.5139664804469274,-1.0,0.7905026794628848,-0.09044846174333662,-0.34606198120730336,-0.4753237126512704,-0.6796332935521017,3750,779
llm_mom_001,0.000880533591126319,0.003613452790797465,0.5307262569832403,-0.002966823358218957,-0.012457223360365482,0.48044692737430167,-1.0,0.7579645251339732,-0.18397086219757114,-0.40661245939557583,-0.6466625328677167,-0.7918806497404506,3750,779
llm_mom_005,0.000880533591126319,0.003613452790797465,0.5307262569832403,-0.002966823358218957,-0.012457223360365482,0.48044692737430167,-1.0,0.7579645251339732,-0.18397086219757114,-0.40661245939557583,-0.6466625328677167,-0.7918806497404506,3750,779
llm_mom_003,0.000880533591126319,0.003613452790797465,0.5307262569832403,-0.002966823358218957,-0.012457223360365482,0.48044692737430167,-1.0,0.7579645251339732,-0.18397086219757114,-0.40661245939557583,-0.6466625328677167,-0.7918806497404506,3750,779
mom_20_rank,0.000880533591126319,0.003613452790797465,0.5307262569832403,-0.002966823358218957,-0.012457223360365482,0.48044692737430167,-1.0,0.7579645251339732,-0.18397086219757114,-0.40661245939557583,-0.6466625328677167,-0.7918806497404506,3750,779
llm_vp_001,0.0006353424907674731,0.003443295163137796,0.4972067039106145,-0.002979870620310047,-0.01593662528872546,0.5363128491620112,-1.0,1.437997942009495,0.18704890265275814,-0.3347141504765973,-0.3256555243396929,-0.6346938006864088,3750,779
volrel_20_rank,0.0006353424907674731,0.003443295163137796,0.4972067039106145,-0.002979870620310047,-0.01593662528872546,0.5363128491620112,-1.0,1.437997942009495,0.18704890265275814,-0.3347141504765973,-0.3256555243396929,-0.6346938006864088,3750,779
llm_rev_016,-0.0014020333688577959,-0.005887612717150971,0.5168539325842697,-0.0031207450383827105,-0.013645801946058978,0.4632768361581921,-1.0,0.7766084002465327,0.06849307289990496,-0.18471736635539776,-0.34999887448241807,-0.4909755818103583,3710,771
llm_vol_009,-0.0020792171129679115,-0.010379883681695345,0.48044692737430167,-0.0031547947450115883,-0.01566140098650468,0.48044692737430167,-1.0,1.4472359761191598,0.05052755834583099,-0.44324080164080376,-0.5431723041269918,-0.743948219159815,3750,779
llm_vol_011,-0.011424282674681487,-0.04605706634957211,0.4245810055865922,-0.003269399102003686,-0.013460967564656843,0.48044692737430167,-1.0,1.2368242761374981,0.5868507685596293,0.23453518607802884,-0.39980627208832353,-0.4830189939123677,3750,779
llm_vp_004,-0.005696121128791629,-0.027809024376896592,0.45251396648044695,-0.003491604422532282,-0.017474434708129337,0.43575418994413406,-1.0,1.5336817653890826,0.059813083415924034,-0.5014091373913068,-0.5630535868054006,-0.7248839191530309,3750,779
obv_20_rank,0.00043520365753175674,0.002005134466962246,0.49162011173184356,-0.004043560627045486,-0.018859567747172037,0.45251396648044695,-1.0,0.679386474315871,-0.35180471959705273,-0.5656451040891591,-0.7556444444671386,-0.8477022703672951,3749,779
llm_mom_017,-1.1299350612985156e-05,-4.614506525544838e-05,0.5251396648044693,-0.004501074216136372,-0.018906172681948667,0.5195530726256983,-1.0,0.8251777818530065,-0.07551632875750781,-0.3245620688914794,-0.5975318286013915,-0.7735385182732857,3750,779
llm_mom_013,-0.00011769967589013154,-0.0004770884987246528,0.5363128491620112,-0.0046217335903869635,-0.019148724742450322,0.4860335195530726,-1.0,0.7656819895266622,-0.07351577487035256,-0.2985942565288573,-0.5548727781865521,-0.7391204788435387,3750,779
llm_mom_011,-0.0003272972013276044,-0.0013290212491813634,0.5195530726256983,-0.004730836873752945,-0.019639756035475592,0.4860335195530726,-1.0,0.7592380341096644,0.013695521103619452,-0.21022493010852653,-0.47424264038813113,-0.659667433999077,3750,779
llm_vol_012,-0.010643400722513956,-0.04194807168077152,0.48314606741573035,-0.004770121920314475,-0.01909552572427276,0.4971751412429379,-1.0,1.127020155230272,0.5146143263915726,0.2002319635388952,-0.29171913271220784,-0.4165052267298168,3710,771
llm_vp_008,-0.0003163318595940268,-0.001697670780808668,0.5251396648044693,-0.005204919603528987,-0.027531511902258752,0.5083798882681564,-1.0,1.4544185667420582,0.1356082110262084,-0.39563809007055045,-0.3863812338573388,-0.695988258504534,3750,779
mean_revert_20_rank,-0.007931534485053755,-0.03597832396642314,0.44692737430167595,-0.005956988674185925,-0.027693346846548467,0.4581005586592179,-1.0,1.2175917435866088,0.49962298227611446,0.1109678294674624,-0.24778083157970443,-0.34274197511607085,3750,779
llm_rev_011,-0.007931534485053755,-0.03597832396642314,0.44692737430167595,-0.005956988674185925,-0.027693346846548467,0.4581005586592179,-1.0,1.2175917435866088,0.49962298227611446,0.1109678294674624,-0.24778083157970443,-0.34274197511607085,3750,779
llm_vp_010,-0.0008748886602800824,-0.003452604284846239,0.46629213483146065,-0.005957184808275952,-0.024382788236414557,0.4463276836158192,-1.0,0.6506598315936837,-0.003375406349518132,-0.18497346067517206,-0.4505070096177035,-0.6376396238628017,3710,771
up_ratio_20,-0.0038878107280169417,-0.018560031750686046,0.44692737430167595,-0.006988693071113208,-0.03429258574311773,0.4245810055865922,-1.0,0.9432417781904303,0.19095552729188814,-0.13464698464731104,-0.37387159741859877,-0.5847914464875672,3750,779
low_downvol_20_rank,-0.01631251343485914,-0.05635456740196511,0.46368715083798884,-0.007088124934318888,-0.02493333986918902,0.44692737430167595,-1.0,0.4819059844733785,0.49645788073729724,0.3748193407595252,-0.4750712023296386,-0.5025963786994203,3750,779
llm_rev_012,-0.013667357802852715,-0.06077682991135113,0.449438202247191,-0.007209844764401891,-0.032912884755436925,0.4858757062146893,-1.0,0.8540186935128569,0.5456831282262394,0.2750205371204246,-0.3031839017664335,-0.3818485124947095,3710,771
llm_liq_006,-0.00245281163659096,-0.009806138587418247,0.4550561797752809,-0.007312911561948787,-0.029652468174603975,0.4576271186440678,-1.0,0.048874889341815414,-0.2280770387923982,-0.2410489708987665,-0.7809899521977846,-0.7847811786741171,3710,771
llm_liq_009,-0.00245281163659096,-0.009806138587418247,0.4550561797752809,-0.007312911561948787,-0.029652468174603975,0.4576271186440678,-1.0,0.048874889341815414,-0.2280770387923982,-0.2410489708987665,-0.7809899521977846,-0.7847811786741171,3710,771
llm_liq_008,-0.0026532196218768318,-0.010860351800216016,0.441340782122905,-0.007760298112852806,-0.03203716771829655,0.44692737430167595,-1.0,0.11911893555025777,-0.11253074489907847,-0.14468955435523187,-0.7129508684198502,-0.7231610604129506,3750,779
llm_liq_005,-0.0026532196218768318,-0.010860351800216016,0.441340782122905,-0.007760298112852806,-0.03203716771829655,0.44692737430167595,-1.0,0.11911893555025777,-0.11253074489907847,-0.14468955435523187,-0.7129508684198502,-0.7231610604129506,3750,779
llm_vp_009,-0.008847947907063542,-0.0362633133327773,0.4692737430167598,-0.008032735926994272,-0.03374742686418164,0.4692737430167598,-1.0,0.9767228029423152,-0.11504611211682536,-0.3990562356233464,-0.5575070279716312,-0.7743986383304936,3750,779
position_20,-0.006379446505249592,-0.02810317716686173,0.48044692737430167,-0.00833877374425911,-0.03808638386979279,0.4134078212290503,-1.0,1.0941516249697931,-0.2486357064947884,-0.6109516555232353,-0.6343444025601446,-0.8193776150371639,3749,779
llm_rev_015,-0.006379446505249592,-0.02810317716686173,0.48044692737430167,-0.00833877374425911,-0.03808638386979279,0.4134078212290503,-1.0,1.0941516249697931,-0.2486357064947884,-0.6109516555232353,-0.6343444025601446,-0.8193776150371639,3749,779
llm_mom_018,-0.00908185847420233,-0.03715373569729327,0.45555555555555555,-0.008594549831961465,-0.036067829214833744,0.4777777777777778,-1.0,1.1777087646652864,0.025837381834376432,-0.3218840904419266,-0.5867746628209407,-0.7475268342937165,3760,782
breakout_20_rank,-0.0123670324104839,-0.049820738525646745,0.4581005586592179,-0.008877092004763169,-0.03627975031904827,0.41899441340782123,-1.0,0.9477834318014036,0.4215922348043059,0.14692848018136215,-0.42899800881453265,-0.4873725418535735,3750,779
llm_vol_003,-0.02047172768713075,-0.07147587638227877,0.43575418994413406,-0.009994960982483713,-0.03544427349998873,0.44692737430167595,-1.0,0.46120636958249284,0.6442251701020796,0.526570154045242,-0.5708358665946892,-0.589491515280804,3750,779
llm_vp_005,-0.005372005745516935,-0.026828552440834225,0.48044692737430167,-0.010367414637274818,-0.05430529263342129,0.4860335195530726,-1.0,1.286228783340465,0.18289700323823174,-0.2924103507031301,-0.6133089213936731,-0.780461538840846,3750,779
llm_liq_002,-0.011607068044609562,-0.05722790728646727,0.4157303370786517,-0.012130950442888826,-0.05943766253665596,0.4406779661016949,-1.0,0.06129948736952628,0.19714097470904404,0.17872334273512835,-0.6759520688942834,-0.6810512102082583,3710,771
lowvol_20_rank,-0.022963485066197456,-0.0751854707555756,0.4301675977653631,-0.012296068330269453,-0.04079312767821809,0.441340782122905,-1.0,0.39916865334066876,0.6896281413831638,0.593762980473172,-0.5420667057529831,-0.550625655121956,3750,779
llm_vol_001,-0.022963485066197456,-0.0751854707555756,0.4301675977653631,-0.012296068330269453,-0.04079312767821809,0.441340782122905,-1.0,0.39916865334066876,0.6896281413831638,0.593762980473172,-0.5420667057529831,-0.550625655121956,3750,779
llm_vol_018,-0.023072690327556027,-0.07449263775731778,0.441340782122905,-0.012596616854184568,-0.04117324736056991,0.4581005586592179,-1.0,0.3841845467326854,0.6383721998576859,0.5484699982476863,-0.5629212935183971,-0.5709667029201293,3750,779
llm_liq_004,-0.012676203697098605,-0.062262199441605534,0.42696629213483145,-0.012830321906060031,-0.06260860628176972,0.4463276836158192,-1.0,0.0696194387828629,0.14337134009404426,0.122381264870771,-0.6695992867481891,-0.6753878143146708,3710,771
liquidity_20_rank,-0.01227501763627771,-0.060027163777651354,0.41899441340782123,-0.01301189231277242,-0.06372816118135394,0.43575418994413406,-1.0,0.16865334066874507,0.3161179535635353,0.2651348159342984,-0.6018509785001177,-0.6076841350271651,3750,779
llm_liq_001,-0.01227501763627771,-0.060027163777651354,0.41899441340782123,-0.01301189231277242,-0.06372816118135394,0.43575418994413406,-1.0,0.16865334066874507,0.3161179535635353,0.2651348159342984,-0.6018509785001177,-0.6076841350271651,3750,779
llm_vol_005,-0.023163821762365606,-0.07371954342914093,0.43575418994413406,-0.013177653698673002,-0.0423840241338826,0.4581005586592179,-1.0,0.3831402693726186,0.7131268857310967,0.6253479404428963,-0.5441962294236571,-0.5520131892841236,3750,779
llm_mom_014,-0.02188018719548802,-0.07385963666344582,0.41899441340782123,-0.013322265803695098,-0.04575977568609892,0.4301675977653631,-1.0,0.505593251421236,0.6735684188702561,0.5503080449873633,-0.485704556995342,-0.5087272264490597,3750,779
llm_liq_003,-0.013545195230503498,-0.06622804525699952,0.39664804469273746,-0.013842055029177798,-0.06782101116635979,0.4245810055865922,-1.0,0.178680950343338,0.26503912230100224,0.21110585316663,-0.6146990023819322,-0.6214977496998564,3750,779
llm_liq_010,-0.014218285991864574,-0.0693855687891116,0.4022346368715084,-0.014255395772880783,-0.06972914050672108,0.4134078212290503,-1.0,0.18563430935061231,0.28208204687043115,0.22592761692058444,-0.6217764755390366,-0.6289437732157315,3750,779
llm_vol_017,-0.024571206398778144,-0.07545402093877988,0.4438202247191011,-0.014303771608007807,-0.04449044010951318,0.4632768361581921,-1.0,0.26505465999629424,0.6770061072604178,0.6167887282371045,-0.5598873742617853,-0.5643306576250169,3710,771
llm_vp_002,-0.008658932912693389,-0.045466538596418936,0.47752808988764045,-0.014548834112377118,-0.07447566747782412,0.4745762711864407,-1.0,1.3471141374837874,0.5399047306803054,0.06751200240671383,-0.36664901633900904,-0.4613539405486299,3710,771
llm_mom_015,-0.023793520197692063,-0.07394001897526908,0.4606741573033708,-0.015174536169401382,-0.047475236107685864,0.4463276836158192,-1.0,0.21346993185514587,0.6972069701146041,0.6489520445467639,-0.5002971478066716,-0.5048327051259098,3710,771
llm_vol_006,-0.024721722213011093,-0.07296139770620207,0.43258426966292135,-0.01549713352024007,-0.04613713205524122,0.4519774011299435,-1.0,0.14745846457908718,0.7988790743381678,0.7668187286681586,-0.48935906862332146,-0.49151545288419407,3710,771
llm_vol_019,-0.025495580001543425,-0.07620299549113906,0.43820224719101125,-0.016400733903943147,-0.04947717218327593,0.480225988700565,-1.0,0.14940398987091594,0.8241058465723157,0.791180581530616,-0.5003233542508679,-0.5027663228259005,3710,771
llm_vol_004,-0.025087923597027523,-0.07988774474541697,0.449438202247191,-0.016725310159199765,-0.0539057553624519,0.4745762711864407,-1.0,0.18043717703250778,0.8455459617956397,0.8031095897804491,-0.4668953942755897,-0.47112736454608617,3710,771
llm_vol_002,-0.025595363538418257,-0.07757812572138306,0.43820224719101125,-0.016908099244427873,-0.0517940261661826,0.4632768361581921,-1.0,0.15424721553126222,0.7899622324159314,0.7552398619980799,-0.4884518667184149,-0.49103442637765415,3710,771
llm_vol_010,-0.012316586433089846,-0.05940322513364306,0.42134831460674155,-0.019195963862202632,-0.09479518064648186,0.4406779661016949,-1.0,0.6664221892821115,0.67107072842826,0.43466899230777495,-0.22674940331017135,-0.3167342053967074,3710,771
llm_liq_007,-0.01817247741978163,-0.0991375509415793,0.4101123595505618,-0.020881147556372204,-0.11552999283458507,0.384180790960452,-1.0,0.5895584995779548,0.4060424793964575,0.1882773618307206,-0.3120670839539992,-0.3473749831445768,3710,771
llm_vp_003,-0.01993144174279113,-0.1105151189619362,0.3707865168539326,-0.021837027247810305,-0.12190369651299977,0.3559322033898305,-1.0,0.6020680213287216,0.6924471717581767,0.46411283229510364,-0.25253318817516845,-0.289434764787161,3710,771
